BFE,SI,FRI,SE,CBD,AE,AR,NAS,CPS,PD,9COH,9UYS,9MPS,9FF,9AIF,6COH,6UYS,6MPS,6FF,6AIF,WFA,Class
0.377157534,0.05113747,-0.367839677,-0.700613744,0.180491892,-0.209138235,3.784101237,0.356308022,-0.534234233,-0.335259138,-0.77314292,-0.76496838,-0.64519396,0.175176778,-0.19656176,-0.742086014,-0.600788747,-0.510337769,0.476412053,-0.002405617,-0.288975707,1
0.416778778,0.303118405,-0.286645384,-0.643104478,0.219087048,-0.200082581,3.734081155,0.485958454,-0.651835047,-0.334409336,-0.631621993,-0.612432172,-0.423843915,0.155579494,-0.008744536,-0.663961302,-0.530880811,-0.327995688,0.450845638,0.190151626,-0.439201357,1
-0.31936585,-0.828381557,0.781343436,1.318959586,-1.341678484,-0.215344963,-0.204460578,0.346666868,1.140374536,-0.201401072,0.927212269,0.967995468,1.031113979,-0.287862304,0.570068685,0.656208971,0.554827238,0.779725251,-0.53134527,0.908026835,1.604480971,4
-0.316841175,-0.404495599,0.426574062,0.54169892,-0.987540329,-0.229497278,-0.192882712,1.02760296,0.344507596,-0.151663646,1.068179361,0.883014972,0.41564582,-0.292558434,-0.14799686,0.631925431,0.344663824,0.297192461,-0.52679895,-0.051247987,0.99444233,4
-0.382230265,-0.009510956,0.574394635,0.341115522,-1.56990085,-0.231813112,-0.225273705,0.722183095,2.080944556,-0.229478651,0.968673178,1.074221088,0.825957926,-0.291846899,0.763832404,1.105454453,0.826669046,0.830518177,-0.548393972,0.584550442,0.323432739,4
-0.340323562,-0.843471661,0.797204518,1.344843729,-1.358179092,-0.216804666,-0.213938516,0.318082273,1.175421484,-0.199996594,0.96389912,1.003281877,1.041477209,-0.290119957,0.560057636,0.686116975,0.579562071,0.784535849,-0.537738779,0.916073812,1.674255497,4
-0.337720218,-0.406377417,0.431380531,0.54336362,-0.993005992,-0.231397968,-0.201999884,1.020236333,0.35475533,-0.14870935,1.109258747,0.915653389,0.406831063,-0.294962418,-0.180382832,0.66107676,0.362849965,0.286967337,-0.533050795,-0.073092013,1.045208051,4
-0.405146832,0.000914947,0.583807192,0.336530044,-1.593512867,-0.233785962,-0.235400181,0.705299586,2.145299666,-0.22894907,1.006651951,1.112817487,0.829928493,-0.294228712,0.759859032,1.149360946,0.859874469,0.836911482,-0.555318718,0.582517895,0.349240665,4
-0.361341989,-0.858633934,0.813090302,1.370739046,-1.374711835,-0.218277845,-0.223410129,0.289494973,1.210518182,-0.198586618,1.000636803,1.038611668,1.051789719,-0.292381385,0.549981923,0.716056637,0.604317494,0.789290067,-0.544137573,0.92407818,1.740187069,4
-0.358659875,-0.408314447,0.43619751,0.545008404,-0.998489625,-0.233312699,-0.211110268,1.01289424,0.36502098,-0.145747567,1.150394603,0.948331788,0.397940967,-0.297370366,-0.21286219,0.690258775,0.381048289,0.276666532,-0.539307744,-0.09501702,1.092106418,4
-0.428126629,0.011301438,0.593236174,0.331916626,-1.617166148,-0.235772947,-0.245521164,0.688428392,2.209742149,-0.228415115,1.044683214,1.151461517,0.833840135,-0.29661446,0.755828747,1.193317066,0.893111356,0.843250439,-0.562249432,0.580429799,0.375081016,4
-0.382360416,-0.873796206,0.828976086,1.396634363,-1.391244578,-0.219751024,-0.232881742,0.260907674,1.245614881,-0.197176642,1.037374485,1.073941459,1.06210223,-0.294642814,0.539906209,0.745996298,0.629072917,0.794044285,-0.550536368,0.932082548,1.806118641,4
-0.379599532,-0.410251478,0.44101449,0.546653188,-1.003973257,-0.23522743,-0.220220652,1.005552147,0.37528663,-0.142785783,1.191530459,0.981010188,0.389050871,-0.299778314,-0.245341548,0.719440791,0.399246613,0.266365727,-0.545564694,-0.116942027,1.139004784,4
-0.451106425,0.021687929,0.602665155,0.327303207,-1.640819429,-0.237759933,-0.255642146,0.671557199,2.274184632,-0.227881159,1.082714477,1.190105548,0.837751777,-0.299000208,0.751798461,1.237273187,0.926348243,0.849589396,-0.569180147,0.578341703,0.400921368,4
-0.329814349,-0.835890525,0.789261626,1.331896071,-1.34991272,-0.216068077,-0.20920271,0.332375922,1.157873135,-0.200701582,0.945530279,0.985616981,1.036320953,-0.288989242,0.565095493,0.671147144,0.56718436,0.78215874,-0.534539381,0.912071629,1.641289711,4
-0.32725039,-0.405408902,0.428972041,0.542541228,-0.990264176,-0.230440602,-0.197444693,1.02390738,0.349622505,-0.150190242,1.088690819,0.899314189,0.41127611,-0.293758444,-0.164143152,0.646485753,0.353750803,0.29211774,-0.52992232,-0.06212951,1.021758868,4
-0.393656934,-0.004278298,0.579092701,0.338836753,-1.581686227,-0.23279247,-0.23033969,0.713735182,2.113078424,-0.229216048,0.98763632,1.093495471,0.827972672,-0.293035838,0.761874175,1.127382886,0.843256026,0.833742003,-0.551853361,0.583561943,0.336320489,4
-0.350832776,-0.851052798,0.80514741,1.357791388,-1.366445463,-0.217541255,-0.218674323,0.303788623,1.192969833,-0.199291606,0.982267961,1.020946772,1.046633464,-0.291250671,0.555019779,0.701086806,0.591939782,0.786912958,-0.540938176,0.920075996,1.707221283,4
-0.348190047,-0.407345932,0.43378902,0.544186012,-0.995747808,-0.232355333,-0.206555076,1.016565287,0.359888155,-0.147228459,1.129826675,0.931992588,0.402386015,-0.296166392,-0.196622511,0.675667768,0.371949127,0.281816935,-0.536179269,-0.084054516,1.068657234,4
-0.41663673,0.006108193,0.588521683,0.334223335,-1.605339508,-0.234779455,-0.240460672,0.696863989,2.177520907,-0.228682092,1.025667583,1.132139502,0.831884314,-0.295421586,0.757843889,1.171339006,0.876492913,0.840080961,-0.558784075,0.581473847,0.36216084,4
